Total Matrix (lin x col) ; Time
############## 2^8 = 256 Matrix - Available max 8 Threads ##############
256 (100x100) ; 0,366370 seconds
256 (100x100) ; 0,363796 seconds
256 (100x100) ; 0,362807 seconds
256 (100x100) ; 0,363906 seconds
256 (100x100) ; 0,364145 seconds
256 (100x100) ; 0,362416 seconds
256 (100x100) ; 0,362574 seconds
256 (100x100) ; 0,366160 seconds
256 (100x100) ; 0,362220 seconds
256 (100x100) ; 0,363360 seconds
256 (100x100) ; 0,362748 seconds
256 (100x100) ; 0,363597 seconds
256 (100x100) ; 0,365870 seconds
256 (100x100) ; 0,362202 seconds
256 (100x100) ; 0,363960 seconds
256 (100x100) ; 0,363079 seconds
256 (100x100) ; 0,362174 seconds
256 (100x100) ; 0,362886 seconds
256 (100x100) ; 0,363270 seconds
256 (100x100) ; 0,363769 seconds
256 (100x100) ; 0,361924 seconds
256 (100x100) ; 0,363793 seconds
256 (100x100) ; 0,363518 seconds
256 (100x100) ; 0,362342 seconds
256 (100x100) ; 0,362284 seconds
256 (100x100) ; 0,363904 seconds
256 (100x100) ; 0,363456 seconds
256 (100x100) ; 0,361626 seconds
256 (100x100) ; 0,362977 seconds
256 (100x100) ; 0,362672 seconds

############## 2^12 = 4096 Matrix - Available max 16 Threads ##############
4096 (100x100) ; 6,660338 seconds
4096 (100x100) ; 6,500523 seconds
4096 (100x100) ; 6,491965 seconds
4096 (100x100) ; 6,489339 seconds
4096 (100x100) ; 6,497835 seconds
4096 (100x100) ; 6,509138 seconds
4096 (100x100) ; 6,485743 seconds
4096 (100x100) ; 6,493395 seconds
4096 (100x100) ; 6,510453 seconds
4096 (100x100) ; 6,500032 seconds
4096 (100x100) ; 6,503032 seconds
4096 (100x100) ; 6,507841 seconds
4096 (100x100) ; 6,539179 seconds
4096 (100x100) ; 6,495872 seconds
4096 (100x100) ; 6,490905 seconds
4096 (100x100) ; 6,486515 seconds
4096 (100x100) ; 6,485479 seconds
4096 (100x100) ; 6,563924 seconds
4096 (100x100) ; 6,511374 seconds
4096 (100x100) ; 6,502536 seconds
4096 (100x100) ; 6,507199 seconds
4096 (100x100) ; 6,519599 seconds
4096 (100x100) ; 6,520711 seconds
4096 (100x100) ; 6,517339 seconds
4096 (100x100) ; 6,513032 seconds
4096 (100x100) ; 6,502150 seconds
4096 (100x100) ; 6,511489 seconds
4096 (100x100) ; 6,516650 seconds
4096 (100x100) ; 6,526499 seconds
4096 (100x100) ; 6,514406 seconds

############## 2^16 = 65536 Matrix - Available max 32 Threads ##############
65536 (100x100) ; 114,285785 seconds
65536 (100x100) ; 114,166745 seconds
65536 (100x100) ; 114,159259 seconds
65536 (100x100) ; 114,257922 seconds
65536 (100x100) ; 113,975337 seconds
65536 (100x100) ; 114,029607 seconds
65536 (100x100) ; 114,089507 seconds
65536 (100x100) ; 114,029418 seconds
65536 (100x100) ; 113,928349 seconds
65536 (100x100) ; 114,469764 seconds
65536 (100x100) ; 114,119918 seconds
65536 (100x100) ; 114,870942 seconds
65536 (100x100) ; 113,929637 seconds
65536 (100x100) ; 114,107899 seconds
65536 (100x100) ; 114,256445 seconds
65536 (100x100) ; 114,145642 seconds
65536 (100x100) ; 114,245160 seconds
65536 (100x100) ; 113,935200 seconds
65536 (100x100) ; 114,112547 seconds
65536 (100x100) ; 114,050285 seconds
65536 (100x100) ; 113,976033 seconds
65536 (100x100) ; 114,021492 seconds
65536 (100x100) ; 113,933588 seconds
65536 (100x100) ; 113,903170 seconds
65536 (100x100) ; 114,012821 seconds
65536 (100x100) ; 114,070349 seconds
65536 (100x100) ; 113,868454 seconds
65536 (100x100) ; 114,946196 seconds
65536 (100x100) ; 114,184745 seconds
65536 (100x100) ; 114,218873 seconds
