Type (Parallel or Serial); Process_count ; Total Matrix (lin x col) ; Time
############## 2^8 = 256 Matrix - Available max 8 Process ##############
Paralelo ; 8 ; 256 (100x100) ; 1.056 seconds
Paralelo ; 8 ; 256 (100x100) ; 0.992 seconds
Paralelo ; 8 ; 256 (100x100) ; 1.032 seconds
Paralelo ; 8 ; 256 (100x100) ; 1.012 seconds
Paralelo ; 8 ; 256 (100x100) ; 1.021 seconds
Paralelo ; 8 ; 256 (100x100) ; 1.004 seconds
Paralelo ; 8 ; 256 (100x100) ; 1.038 seconds
Paralelo ; 8 ; 256 (100x100) ; 1.052 seconds
Paralelo ; 8 ; 256 (100x100) ; 1.014 seconds
Paralelo ; 8 ; 256 (100x100) ; 1.001 seconds
Paralelo ; 8 ; 256 (100x100) ; 1.023 seconds
Paralelo ; 8 ; 256 (100x100) ; 1.07 seconds
Paralelo ; 8 ; 256 (100x100) ; 0.999 seconds
Paralelo ; 8 ; 256 (100x100) ; 1.021 seconds
Paralelo ; 8 ; 256 (100x100) ; 1.052 seconds
Paralelo ; 8 ; 256 (100x100) ; 1.054 seconds
Paralelo ; 8 ; 256 (100x100) ; 1.06 seconds
Paralelo ; 8 ; 256 (100x100) ; 1.029 seconds
Paralelo ; 8 ; 256 (100x100) ; 1.013 seconds
Paralelo ; 8 ; 256 (100x100) ; 1.018 seconds
Paralelo ; 8 ; 256 (100x100) ; 1.055 seconds
Paralelo ; 8 ; 256 (100x100) ; 1.027 seconds
Paralelo ; 8 ; 256 (100x100) ; 1.047 seconds
Paralelo ; 8 ; 256 (100x100) ; 1.021 seconds
Paralelo ; 8 ; 256 (100x100) ; 1.07 seconds
Paralelo ; 8 ; 256 (100x100) ; 1.074 seconds
Paralelo ; 8 ; 256 (100x100) ; 1.064 seconds
Paralelo ; 8 ; 256 (100x100) ; 1.027 seconds
Paralelo ; 8 ; 256 (100x100) ; 1.04 seconds
Paralelo ; 8 ; 256 (100x100) ; 1.001 seconds

############## 2^12 = 4096 Matrix - Available max 16 Process ##############
Paralelo ; 16 ; 4096 (100x100) ; 7.185 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.153 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.301 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.286 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.282 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.254 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.28 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.264 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.291 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.169 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.165 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.166 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.2 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.31 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.166 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.199 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.305 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.171 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.169 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.191 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.258 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.276 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.299 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.287 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.182 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.143 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.319 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.333 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.362 seconds
Paralelo ; 16 ; 4096 (100x100) ; 7.34 seconds

############## 2^16 = 65536 Matrix - Available max 32 Process ##############
Paralelo ; 32 ; 65536 (100x100) ; 57.427 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.456 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.442 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.428 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.432 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.545 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.543 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.494 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.468 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.637 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.435 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.512 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.426 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.366 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.402 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.466 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.515 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.441 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.405 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.523 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.421 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.35 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.39 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.407 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.428 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.55 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.503 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.469 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.476 seconds
Paralelo ; 32 ; 65536 (100x100) ; 57.497 seconds
